#: table_doi: 10.17182/hepdata.71527.v2/t1
#: name: Figure 6a
#: description: The difference in $v_{2}$ between particles (X) and their corresponding antiparticles $\bar{X}$ (see legend) as a function of $\sqrt{s_{NN}}$ for 10%-40% central Au + Au collisions. The systematic errors are shown by the hooked error bars. The dashed lines in the plot are fits with a power-law function.
#: data_file: table_6a.yaml
#: keyword reactions: AuAu -->
#: keyword phrases: flow | v2
#: Centrality,10%-40%
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,0.0464,0.0065,-0.0065,0.0065,-0.0034
11.5,0.0273,0.0017,-0.0017,0.005,-0.0026
19.6,0.0165,0.0007,-0.0007,0.0043,-0.0021
27,0.0144,0.0005,-0.0005,0.0023,-0.0017
39,0.0089,0.0004,-0.0004,0.001,-0.0012
62.4,0.0068,0.0005,-0.0005,0.0008,-0.0011

#: Centrality,10%-40%
$\sqrt{s_{NN}}$ (GeV),$\pi^{+}-\pi^{-} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,-0.0044,0.00046,-0.00046,0.00033,-0.00269
11.5,-0.002693,0.000211,-0.000211,0.000362,-2.2e-05
19.6,-0.00182,0.000105,-0.000105,2.7e-05,-0.001378
27,-0.001331,6.5e-05,-6.5e-05,1.1e-05,-0.000549
39,-0.001198,5e-05,-5e-05,2.2e-05,-0.000635
62.4,-0.000683,7.6e-05,-7.6e-05,1.5e-05,-0.00029

#: Centrality,10%-40%
$\sqrt{s_{NN}}$ (GeV),$K^{+}-K^{-} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,0.0091,0.0018,-0.0018,0.0063,-0.003
11.5,0.0044,0.0007,-0.0007,0.0009,-0.0036
19.6,0.0027,0.00031,-0.00031,0.00017,-0.00132
27,0.00178,0.00019,-0.00019,0.0003,-0.00205
39,0.00068,0.00013,-0.00013,0.0002,-0.00232
62.4,0.00026,0.00017,-0.00017,0.00011,-0.00099

#: Centrality,10%-40%
$\sqrt{s_{NN}}$ (GeV),$\Lambda-\bar{\Lambda} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,0.042,0.014,-0.014,0.004,-0.014
11.5,0.0257,0.004,-0.004,0.0016,-0.0048
19.6,0.0153,0.0013,-0.0013,0.0039,-0.0015
27,0.0126,0.0007,-0.0007,0.0032,-0.0016
39,0.00829,0.00047,-0.00047,0.00012,-0.0004
62.4,0.00597,0.00056,-0.00056,0.00024,-0.0007

#: Centrality,10%-40%
$\sqrt{s_{NN}}$ (GeV),$\Xi-\bar{\Xi} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,-,0,0,0,0
11.5,0.033,0.02,-0.02,0.017,-0.011
19.6,0.021,0.007,-0.007,0.01,-0.006
27,0.0076,0.0043,-0.0043,0.0037,-0.003
39,0.0063,0.0026,-0.0026,0.0017,-0.0021
62.4,0.00509,0.00301,-0.00301,0.00019,-0.00021

