#: table_doi: 10.17182/hepdata.71527.v2/t2
#: name: Figure 6b
#: description: The difference in $v_{2}$ between protons and antiprotons as a function of $\sqrt{s_{NN}}$ for 0%-10%, 10%-40% and 40%-80% central Au + Au collisions. The systematic errors are shown by the hooked error bars. The dashed lines in the plot are fits with a power-law function.
#: data_file: table_6b.yaml
#: keyword reactions: AuAu -->
#: keyword phrases: flow | v2
#: Centrality,(0%-10%)
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,0.027,0.015,-0.015,0.013,-0.004
11.5,0.0182,0.0036,-0.0036,0.0043,-0.0035
19.6,0.0121,0.001,-0.001,0.0017,-0.0014
27,0.009374,0.000591,-0.000591,2e-05,-3.7e-05
39,0.0063,0.0004,-0.0004,0.0031,-0.0013
62.4,0.0053,0.0006,-0.0006,0.0021,-0.0018

#: Centrality,(10%-40%)
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,0.0464,0.0065,-0.0065,0.0065,-0.0034
11.5,0.0273,0.0017,-0.0017,0.005,-0.0026
19.6,0.0165,0.0007,-0.0007,0.0043,-0.0021
27,0.0144,0.0005,-0.0005,0.0023,-0.0017
39,0.0089,0.0004,-0.0004,0.001,-0.0012
62.4,0.0068,0.0005,-0.0005,0.0008,-0.0011

#: Centrality,(40%-80%)
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))$,stat +,stat -,sys +,sys -
7.7,-,0,0,0,0
11.5,0.0183,0.0061,-0.0061,0.0018,-0.0018
19.6,0.0125,0.0019,-0.0019,0.0005,-0.0011
27,0.01064,0.00112,-0.00112,0.00015,-0.0005
39,0.0066,0.0008,-0.0008,0.0012,-0.0026
62.4,0.00499,0.00096,-0.00096,0.00033,-0.00019

