#: table_doi: 10.17182/hepdata.71527.v2/t3
#: name: Figure 6c
#: description: The relative difference. The systematic errors are shown by the hooked error bars. The dashed lines in the plot are fits with a power-law function.
#: data_file: table_6c.yaml
#: keyword reactions: AuAu -->
#: keyword phrases: flow | v2
#: Centrality,(0%-10%)
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))/v_{2}^{norm}$,stat +,stat -,sys +,sys -
7.7,0.7266422,0.4077334,-0.4077334,0.3535497,-0.1181388
11.5,0.3376375,0.06608858,-0.06608858,0.07990539,-0.06495177
19.6,0.2122293,0.01703803,-0.01703803,0.03013118,-0.02448863
27,0.1582837,0.009974986,-0.009974986,0.0003303804,-0.0006300688
39,0.1034973,0.00688282,-0.00688282,0.05177593,-0.02101943
62.4,0.08877449,0.009721649,-0.009721649,0.03464747,-0.0303572

#: Centrality,(10%-40%)
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))/v_{2}^{norm}$,stat +,stat -,sys +,sys -
7.7,0.4298901,0.0601954,-0.0601954,0.06036529,-0.03187282
11.5,0.2246421,0.0137185,-0.0137185,0.04104485,-0.02159608
19.6,0.1284378,0.005292485,-0.005292485,0.03416907,-0.0162597
27,0.1103619,0.003805588,-0.003805588,0.01778141,-0.0129144
39,0.067903,0.003152954,-0.003152954,0.007624658,-0.008890721
62.4,0.05165295,0.004006611,-0.004006611,0.00614829,-0.008378768

#: Centrality,(40%-80%)
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p} (v_{2}(X)-v_{2}(\bar{X}))/v_{2}^{norm}$,stat +,stat -,sys +,sys -
7.7,-,0,0,0,0
11.5,0.1187889,0.03980448,-0.03980448,0.01187413,-0.01157008
19.6,0.07016152,0.01091395,-0.01091395,0.002727226,-0.006286286
27,0.05994762,0.006325268,-0.006325268,0.000860969,-0.002798254
39,0.03580353,0.004116871,-0.004116871,0.006545279,-0.01419639
62.4,0.02670079,0.005135748,-0.005135748,0.00176428,-0.000996439

