#: table_doi: 10.17182/hepdata.71527.v2/t4
#: name: Figure 7
#: description: The $v_{2}$ difference between protons and antiprotons (and between $\pi^{+}$ and $pi^{-}$) for 10%-40% centrality Au+Au collisions at 7.7, 11.5, 14.5, and 19.6 GeV. The $v_{2}{BBC} results were slightly shifted horizontally.
#: data_file: table_7.yaml
#: keyword reactions: AuAu -->
#: keyword phrases: flow | v2
$\sqrt{s_{NN}}$ (GeV),$p-\bar{p}: v_{2}(\eta-sub)$ difference,stat +,stat -,sys +,sys -
7.7,0.0464,0.0065,-0.0065,0.0034,-0.0065
11.5,0.0274,0.0017,-0.0017,0.0026,-0.005
14.5,0.0199,0.001,-0.001,0.0009,-0.0009
19.6,0.0165,0.0007,-0.0007,0.0021,-0.0044

$\sqrt{s_{NN}}$ (GeV),$p-\bar{p}: v_{2}(BBC)$ difference,stat +,stat -,sys +,sys -
7.7,0.0242,0.0126,-0.0126,0.0032,-0.0034
11.5,0.028,0.0047,-0.0047,0.0006,-0.0008
14.5,0.029,0.006,-0.006,0.008,-0.011
19.6,0.0154,0.0034,-0.0034,0.0051,-0.0065

$\sqrt{s_{NN}}$ (GeV),$\pi^{+}-\pi^{-}: v_{2}(\eta-sub)$ difference,stat +,stat -,sys +,sys -
7.7,-0.00434,0.00046,-0.00046,0.00269,-0.00033
11.5,-0.002693,0.000211,-0.000211,2.2e-05,-0.000362
14.5,-0.00237,0.00016,-0.00016,0.00065,-0.00065
19.6,-0.00182,0.000106,-0.000106,0.001378,-2.7e-05

$\sqrt{s_{NN}}$ (GeV),$\pi^{+}-\pi^{-}: v_{2}(BBC)$ difference,stat +,stat -,sys +,sys -
7.7,-0.00513,0.00098,-0.00098,0.00053,-0.00027
11.5,-0.00224,0.00061,-0.00061,0.00034,-0.00061
14.5,-0.00101,0.00086,-0.00086,0.00054,-0.00032
19.6,-0.00212,0.00063,-0.00063,0.00022,-0.00012

