#: table_doi: 10.17182/hepdata.71527.v2/t127
#: name: Table 123
#: description: No description provided.
#: data_file: Table123.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.026269,0.000217,-0.000217,0.0,-0.0
0.495,0.046336,0.000275,-0.000275,3e-05,-1.5e-05
0.675,0.064612,0.00039,-0.00039,0.000211,-0.000104
0.885,0.082296,0.000571,-0.000571,0.0,-0.0
1.065,0.093176,0.000847,-0.000847,3e-06,-5e-06
1.275,0.106083,0.001249,-0.001249,1e-05,-1.9e-05
1.485,0.114697,0.001853,-0.001853,1.1e-05,-2e-05
1.665,0.123377,0.002762,-0.002762,0.000233,-0.000109
1.935,0.131838,0.00338,-0.00338,0.000108,-8.1e-05
2.355,0.126493,0.007154,-0.007154,0.000727,-0.000823

