#: table_doi: 10.17182/hepdata.71527.v2/t174
#: name: Table 170
#: description: No description provided.
#: data_file: Table170.yaml
#: keyword reactions: AU AU --> XI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> XI- X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.6755,0.027938,0.007185,-0.007185,0.003108,-0.003779
0.9055,0.043215,0.004671,-0.004671,0.002819,-0.002914
1.1055,0.061489,0.003701,-0.003701,0.002251,-0.001964
1.2955,0.078068,0.00343,-0.00343,0.001804,-0.002778
1.5055,0.102408,0.003475,-0.003475,0.001277,-0.001846
1.7055,0.11887,0.003782,-0.003782,0.002268,-0.001592
1.9045,0.137308,0.004334,-0.004334,0.003471,-0.001288
2.1055,0.151414,0.005193,-0.005193,0.002783,-0.002785
2.3805,0.165282,0.005072,-0.005072,0.0032,-0.001834
2.7975,0.182333,0.007682,-0.007682,0.003294,-0.001978
3.5375,0.211468,0.016427,-0.016427,0.01501,-0.010409

