#: table_doi: 10.17182/hepdata.71527.v2/t185
#: name: Table 181
#: description: No description provided.
#: data_file: Table181.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.013218,0.000291,-0.000291,9e-06,-1.7e-05
0.495,0.03129,0.000185,-0.000185,7.4e-05,-4.4e-05
0.705,0.0538,0.000188,-0.000188,6.9e-05,-3.6e-05
0.885,0.074595,0.000222,-0.000222,6.2e-05,-4e-05
1.095,0.093127,0.000279,-0.000279,7.1e-05,-3.7e-05
1.275,0.108946,0.000363,-0.000363,3.8e-05,-2e-05
1.485,0.121914,0.000486,-0.000486,8.2e-05,-5.1e-05
1.695,0.131265,0.00067,-0.00067,6.4e-05,-4.9e-05
1.875,0.138464,0.000946,-0.000946,0.000257,-0.000295
2.085,0.142195,0.001372,-0.001372,0.000375,-0.00037
2.265,0.146256,0.002028,-0.002028,0.000557,-0.00061
2.475,0.150271,0.003035,-0.003035,0.000645,-0.000724
2.835,0.154251,0.003179,-0.003179,0.000823,-0.000498
3.465,0.144235,0.00723,-0.00723,0.005022,-0.010877

