#: table_doi: 10.17182/hepdata.71527.v2/t187
#: name: Table 183
#: description: No description provided.
#: data_file: Table183.yaml
#: keyword reactions: AU AU --> PHI X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PHI X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4925,0.036545,0.010905,-0.010905,0.005117,-0.004031
0.7055,0.02033,0.006074,-0.006074,0.002416,-0.002212
0.9055,0.048705,0.005246,-0.005246,0.002362,-0.001824
1.1055,0.069083,0.005171,-0.005171,0.001918,-0.001987
1.2955,0.088297,0.005725,-0.005725,0.001807,-0.00125
1.5055,0.095501,0.00658,-0.00658,0.002229,-0.00159
1.7045,0.108206,0.007825,-0.007825,0.001848,-0.001441
1.9055,0.132425,0.00937,-0.00937,0.003164,-0.002554
2.2355,0.11579,0.00803,-0.00803,0.004643,-0.005637
2.8625,0.153856,0.015683,-0.015683,0.001353,-0.00114

