#: table_doi: 10.17182/hepdata.71527.v2/t189
#: name: Table 185
#: description: No description provided.
#: data_file: Table185.yaml
#: keyword reactions: AU AU --> XIBAR+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> XIBAR+ X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.6755,0.015857,0.011489,-0.011489,0.0051,-0.005239
0.9055,0.040123,0.007635,-0.007635,0.005703,-0.003614
1.1055,0.060776,0.006006,-0.006006,0.003421,-0.004242
1.2955,0.073453,0.005422,-0.005422,0.002091,-0.002409
1.5055,0.095591,0.005436,-0.005436,0.001548,-0.002123
1.7055,0.115724,0.00577,-0.00577,0.001435,-0.001429
1.9045,0.131611,0.006481,-0.006481,0.002118,-0.002723
2.1055,0.145887,0.007616,-0.007616,0.002516,-0.002396
2.3055,0.168709,0.009232,-0.009232,0.004044,-0.003342
2.5785,0.197387,0.008924,-0.008924,0.010185,-0.005842
3.0055,0.205536,0.014826,-0.014826,0.004087,-0.003373
3.5695,0.203918,0.021526,-0.021526,0.012277,-0.012926

