#: table_doi: 10.17182/hepdata.71527.v2/t209
#: name: Table 205
#: description: No description provided.
#: data_file: Table205.yaml
#: keyword reactions: AU AU --> P X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 7.7
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> P X
#: SQRT(S)/NUCLEON [GeV],7.7
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.019344,0.010064,-0.010064,0.000911,-0.002636
0.495,0.029204,0.004058,-0.004058,0.001434,-0.003413
0.705,0.053835,0.003736,-0.003736,0.000305,-0.00017
0.885,0.080815,0.00415,-0.00415,0.000832,-0.00053
1.095,0.094969,0.005134,-0.005134,0.00014,-0.000195
1.275,0.107889,0.00671,-0.00671,0.002711,-0.001437
1.485,0.129731,0.009123,-0.009123,0.001095,-0.000571
1.755,0.156801,0.010566,-0.010566,0.002537,-0.001375
2.175,0.181197,0.02039,-0.02039,0.003505,-0.003552

