#: table_doi: 10.17182/hepdata.71527.v2/t294
#: name: Table 290
#: description: No description provided.
#: data_file: Table290.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.016651,0.003317,-0.003317,0.000649,-0.001857
0.495,0.02875,0.001353,-0.001353,0.000999,-0.00243
0.705,0.051979,0.001163,-0.001163,0.001048,-0.002352
0.885,0.085452,0.001237,-0.001237,0.000758,-0.001649
1.095,0.117946,0.00146,-0.00146,0.000798,-0.001665
1.275,0.149035,0.001822,-0.001822,0.000818,-0.000891
1.485,0.179829,0.002351,-0.002351,0.000977,-0.002039
1.695,0.206576,0.003166,-0.003166,0.000387,-0.000703
1.875,0.221758,0.0038,-0.0038,0.000985,-0.001734
2.085,0.248716,0.005138,-0.005138,0.000446,-0.000833
2.295,0.258421,0.006975,-0.006975,0.00109,-0.002084
2.535,0.277343,0.008622,-0.008622,0.00278,-0.002606
3.045,0.285936,0.016552,-0.016552,0.00148,-0.002586

