#: table_doi: 10.17182/hepdata.71527.v2/t376
#: name: Table 372
#: description: No description provided.
#: data_file: Table372.yaml
#: keyword reactions: AU AU --> K0S X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> K0S X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,0.013438,0.000653,-0.000653,0.000104,-0.000101
0.5055,0.029379,0.000387,-0.000387,2.1e-05,-2.1e-05
0.7055,0.046256,0.000327,-0.000327,3.2e-05,-3.2e-05
0.9045,0.063523,0.000347,-0.000347,3.1e-05,-3.1e-05
1.1055,0.078904,0.000415,-0.000415,6.1e-05,-6e-05
1.2955,0.091893,0.000532,-0.000532,1.3e-05,-1.2e-05
1.5055,0.102264,0.000709,-0.000709,7.1e-05,-6.9e-05
1.7055,0.109131,0.000963,-0.000963,2.3e-05,-2.3e-05
1.9055,0.117101,0.001314,-0.001314,0.00021,-0.000204
2.1055,0.119991,0.001787,-0.001787,5.3e-05,-5.1e-05
2.3045,0.12474,0.002445,-0.002445,0.000104,-0.000101
2.5745,0.128654,0.002661,-0.002661,0.000586,-0.000611
3.0975,0.139165,0.004253,-0.004253,0.000644,-0.00068
3.9575,0.130578,0.013071,-0.013071,0.002403,-0.002619

