#: table_doi: 10.17182/hepdata.71527.v2/t394
#: name: Table 390
#: description: No description provided.
#: data_file: Table390.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.021247,5.4e-05,-5.4e-05,0.000817,-0.000398
0.495,0.04235,6.3e-05,-6.3e-05,7.8e-05,-4.5e-05
0.675,0.063225,8.5e-05,-8.5e-05,0.000174,-9e-05
0.885,0.081374,0.000119,-0.000119,5.5e-05,-2.8e-05
1.065,0.097052,0.000167,-0.000167,5e-06,-3e-06
1.275,0.110052,0.000232,-0.000232,1.9e-05,-3.3e-05
1.485,0.120986,0.000327,-0.000327,1.1e-05,-7e-06
1.665,0.128628,0.000458,-0.000458,5.8e-05,-3.3e-05
1.875,0.134524,0.00063,-0.00063,5.1e-05,-5.5e-05
2.085,0.140802,0.000845,-0.000845,3.7e-05,-8.5e-05
2.295,0.144568,0.001104,-0.001104,9.5e-05,-0.00018
2.475,0.147086,0.001456,-0.001456,2e-05,-2e-05
2.685,0.152306,0.001885,-0.001885,0.000518,-0.000301
2.955,0.151087,0.001959,-0.001959,0.000341,-0.00031
3.345,0.152001,0.003276,-0.003276,0.000589,-0.000498

