#: table_doi: 10.17182/hepdata.71527.v2/t46
#: name: Table 42
#: description: No description provided.
#: data_file: Table42.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.335711,0.009527,0.002187,-0.002187,0.000846,-0.000846
0.506913,0.014537,0.001238,-0.001238,0.000244,-0.000244
0.696396,0.023629,0.001226,-0.001226,0.00035,-0.00035
0.891737,0.032567,0.001467,-0.001467,0.000362,-0.000362
1.08938,0.039335,0.001932,-0.001932,0.000722,-0.000722
1.28838,0.050584,0.002602,-0.002602,0.001009,-0.001009
1.48848,0.043207,0.003554,-0.003554,0.000824,-0.000824
1.68951,0.048411,0.005121,-0.005121,0.002215,-0.002215
1.89099,0.043152,0.007948,-0.007948,0.000444,-0.000444
2.16958,0.057667,0.013641,-0.013641,0.00096,-0.00096
2.60279,0.02298,0.0458,-0.0458,0.007363,-0.007363

