#: table_doi: 10.17182/hepdata.71527.v2/t94
#: name: Table 90
#: description: No description provided.
#: data_file: Table90.yaml
#: keyword reactions: AU AU --> LAMBDA X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> LAMBDA X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4955,6.4e-05,0.004248,-0.004248,0.003314,-0.001883
0.7055,0.003141,0.002315,-0.002315,0.000759,-0.000793
0.9055,0.017395,0.001743,-0.001743,0.000884,-0.000585
1.1055,0.025259,0.001564,-0.001564,0.000414,-0.000438
1.2955,0.0403,0.001581,-0.001581,0.000601,-0.000781
1.5055,0.047289,0.001731,-0.001731,0.000652,-0.000492
1.7055,0.059898,0.002012,-0.002012,0.000515,-0.000897
1.9045,0.070977,0.002434,-0.002434,0.00073,-0.000831
2.1055,0.082313,0.003079,-0.003079,0.00122,-0.001242
2.3775,0.086095,0.00315,-0.00315,0.001301,-0.000863
2.7935,0.097006,0.005072,-0.005072,0.002068,-0.001811
3.5515,0.119007,0.011417,-0.011417,0.00341,-0.004225

