#: table_doi: 10.17182/hepdata.71527.v2/t95
#: name: Table 91
#: description: No description provided.
#: data_file: Table91.yaml
#: keyword reactions: AU AU --> LAMBDABAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> LAMBDABAR X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4945,0.004996,0.005535,-0.005535,0.002416,-0.004941
0.7055,-0.005075,0.003079,-0.003079,0.001492,-0.001134
0.9055,0.010811,0.002351,-0.002351,0.000786,-0.001132
1.1055,0.021561,0.002139,-0.002139,0.000701,-0.00121
1.2955,0.033827,0.00217,-0.00217,0.000738,-0.00068
1.5055,0.044053,0.002382,-0.002382,0.000928,-0.000555
1.7055,0.057264,0.002764,-0.002764,0.000459,-0.001076
1.9055,0.06302,0.003362,-0.003362,0.001511,-0.000871
2.1045,0.069847,0.004242,-0.004242,0.001485,-0.001294
2.3055,0.074278,0.005489,-0.005489,0.001634,-0.002101
2.5755,0.090427,0.005808,-0.005808,0.002304,-0.002016
3.1425,0.10326,0.009019,-0.009019,0.002792,-0.002059

