density,m_u,m_d,m_s,M_B,V_u,V_d,V_s
0.0000,316.8264,316.8264,497.4094,939.0000,0.0000,0.0000,0.0000
0.0667,308.0769,308.0769,493.8470,939.0000,5.2458,5.2458,-0.6872
0.1333,303.2536,303.2537,490.7993,939.0000,-0.0240,-0.0241,0.9360
0.2000,293.0179,289.3226,488.0922,939.0000,12.6270,21.2983,-0.0391
0.2667,282.2732,282.2732,483.7223,939.0000,20.9453,20.9453,-2.7609
0.3333,273.8235,273.8235,480.5328,939.0000,26.1282,26.1282,-3.4567
0.4000,265.4574,265.4574,477.4363,939.0000,31.2689,31.2689,-4.1551
0.4667,257.1827,257.1827,474.4333,939.0000,36.3589,36.3589,-4.8564
0.5333,249.0086,249.0086,471.5244,939.0000,41.3905,41.3905,-5.5608
0.6000,240.9465,240.9465,468.7104,939.0000,46.3575,46.3575,-6.2686
0.6667,233.0088,233.0088,465.9920,939.0000,51.2544,51.2544,-6.9799
0.7333,225.2093,225.2093,463.3697,939.0000,56.0771,56.0771,-7.6952
0.8000,217.5623,217.5623,460.8441,939.0000,60.8221,60.8221,-8.4147
0.8667,210.0827,210.0827,458.4151,939.0000,65.4867,65.4867,-9.1384
0.9333,202.7852,202.7852,456.0826,939.0000,70.0690,70.0690,-9.8667
1.0000,195.6840,195.6840,453.8457,939.0000,74.5675,74.5675,-10.5997
1.0667,188.7923,188.7923,451.7033,939.0000,78.9811,78.9811,-11.3373
1.1333,182.1216,182.1216,449.6536,939.0000,83.3091,83.3091,-12.0797
1.2000,175.6819,175.6819,447.6943,939.0000,87.5511,87.5511,-12.8268
1.2667,169.4811,169.4811,445.8227,939.0000,91.7070,91.7070,-13.5783
1.3333,163.5689,163.5689,444.0480,939.0000,95.7741,95.7741,-14.3337
1.4000,157.9892,157.9892,442.3782,939.0000,99.7496,99.7496,-15.0918
1.4667,152.6635,152.6635,440.7868,939.0000,103.6387,103.6387,-15.8533
1.5333,147.5823,147.5823,439.2677,939.0000,107.4428,107.4428,-16.6180
1.6000,142.7393,142.7393,437.8160,939.0000,111.1633,111.1633,-17.3856
1.6667,138.1282,138.1282,436.4272,939.0000,114.8015,114.8015,-18.1558
1.7333,133.7420,133.7420,435.0969,939.0000,118.3591,118.3591,-18.9283
1.8000,129.5728,129.5728,433.8210,939.0000,121.8379,121.8379,-19.7027
1.8667,125.6123,125.6123,432.5954,939.0000,125.2396,125.2396,-20.4787
1.9333,121.8515,121.8515,431.4165,939.0000,128.5664,128.5664,-21.2560
2.0000,118.2814,118.2814,430.2805,939.0000,131.8200,131.8200,-22.0343
2.0667,114.8926,114.8926,429.1842,939.0000,135.0028,135.0028,-22.8133
2.1333,111.6759,111.6759,428.1244,939.0000,138.1167,138.1167,-23.5928
2.2000,108.6220,108.6220,427.0981,939.0000,141.1640,141.1640,-24.3724
2.2667,105.7220,105.7220,426.1026,939.0000,144.1467,144.1467,-25.1519
2.3333,102.9671,102.9671,425.1354,939.0000,147.0671,147.0671,-25.9311
2.4000,100.3491,100.3491,424.1941,939.0000,149.9271,149.9271,-26.7098
2.4667,97.8598,97.8598,423.2767,939.0000,152.7289,152.7289,-27.4877
2.5333,95.4917,95.4917,422.3811,939.0000,155.4745,155.4745,-28.2648
2.6000,93.2376,93.2376,421.5056,939.0000,158.1659,158.1659,-29.0409
2.6667,91.0906,91.0906,420.6486,939.0000,160.8049,160.8049,-29.8157
2.7333,89.0443,89.0443,419.8084,939.0000,163.3935,163.3935,-30.5893
2.8000,87.0926,87.0926,418.9838,939.0000,165.9333,165.9333,-31.3613
2.8667,85.2299,85.2299,418.1734,939.0000,168.4262,168.4262,-32.1318
2.9333,83.4509,83.4509,417.3761,939.0000,170.8739,170.8739,-32.9007
3.0000,81.7506,81.7506,416.5909,939.0000,173.2778,173.2778,-33.6678
3.0667,80.1244,80.1244,415.8167,939.0000,175.6396,175.6396,-34.4330
3.1333,78.5679,78.5679,415.0528,939.0000,177.9607,177.9607,-35.1963
3.2000,77.0771,77.0771,414.2982,939.0000,180.2425,180.2425,-35.9577
3.2667,75.6483,75.6483,413.5522,939.0000,182.4865,182.4865,-36.7170
3.3333,74.2778,74.2778,412.8141,939.0000,184.6938,184.6938,-37.4742
3.4000,72.9625,72.9625,412.0833,939.0000,186.8657,186.8657,-38.2292
3.4667,71.6992,71.6992,411.3593,939.0000,189.0034,189.0034,-38.9821
3.5333,70.4850,70.4850,410.6414,939.0000,191.1081,191.1081,-39.7327
3.6000,69.3174,69.3174,409.9291,939.0000,193.1807,193.1807,-40.4810
3.6667,68.1937,68.1937,409.2221,939.0000,195.2225,195.2225,-41.2270
3.7333,67.1118,67.1118,408.5199,939.0000,197.2343,197.2343,-41.9708
3.8000,66.0692,66.0692,407.8221,939.0000,199.2171,199.2171,-42.7121
3.8667,65.0641,65.0641,407.1283,939.0000,201.1718,201.1718,-43.4511
3.9333,64.0945,64.0945,406.4382,939.0000,203.0993,203.0993,-44.1876
4.0000,63.1585,63.1585,405.7515,939.0000,205.0004,205.0004,-44.9218
4.0667,62.2527,62.2527,405.0677,939.0000,206.8763,206.8763,-45.6537
4.1333,61.3517,61.3517,404.3847,939.0000,208.7314,208.7314,-46.3859
4.2000,60.4671,60.4671,403.7033,939.0000,210.5645,210.5645,-47.1172
4.2667,59.6034,59.6034,403.0237,939.0000,212.3754,212.3754,-47.8470
4.3333,58.7619,58.7619,402.3459,939.0000,214.1644,214.1644,-48.5750
4.4000,57.9429,57.9429,401.6699,939.0000,215.9319,215.9318,-49.3012
4.4667,57.1463,57.1463,400.9956,939.0000,217.6783,217.6783,-50.0254
4.5333,56.3715,56.3715,400.3228,939.0000,219.4041,219.4041,-50.7475
4.6000,55.6182,55.6182,399.6514,939.0000,221.1099,221.1099,-51.4676
4.6667,54.8858,54.8858,398.9813,939.0000,222.7961,222.7961,-52.1854
4.7333,54.1737,54.1737,398.3124,939.0000,224.4631,224.4631,-52.9011
4.8000,53.4812,53.4812,397.6447,939.0000,226.1114,226.1114,-53.6145
4.8667,52.8077,52.8077,396.9778,939.0000,227.7415,227.7415,-54.3256
4.9333,52.1527,52.1527,396.3119,939.0000,229.3538,229.3538,-55.0345
5.0000,51.5154,51.5154,395.6467,939.0000,230.9488,230.9488,-55.7410
5.0667,50.8954,50.8954,394.9823,939.0000,232.5267,232.5267,-56.4452
5.1333,50.2919,50.2919,394.3184,939.0000,234.0882,234.0882,-57.1471
5.2000,49.7045,49.7045,393.6550,939.0000,235.6334,235.6334,-57.8466
5.2667,49.1326,49.1326,392.9921,939.0000,237.1629,237.1629,-58.5438
5.3333,48.5757,48.5757,392.3296,939.0000,238.6769,238.6769,-59.2386
5.4000,48.0334,48.0334,391.6674,939.0000,240.1758,240.1758,-59.9310
5.4667,47.5050,47.5050,391.0055,939.0000,241.6599,241.6599,-60.6209
5.5333,46.9902,46.9902,390.3438,939.0000,243.1296,243.1296,-61.3085
5.6000,46.4885,46.4885,389.6823,939.0000,244.5852,244.5852,-61.9937
5.6667,45.9996,45.9996,389.0210,939.0000,246.0270,246.0270,-62.6764
5.7333,45.5230,45.5230,388.3599,939.0000,247.4553,247.4553,-63.3567
5.8000,45.0584,45.0584,387.6988,939.0000,248.8703,248.8703,-64.0346
5.8667,44.6054,44.6054,387.0380,939.0000,250.2723,250.2723,-64.7100
5.9333,44.1637,44.1637,386.3773,939.0000,251.6616,251.6616,-65.3829
6.0000,43.7332,43.7332,385.7170,939.0000,253.0385,253.0385,-66.0533
