density,m_u,m_d,m_s,M_B
0,256.4498125,256.4498125,457.0815636,5811
0.0625,250.1564444,250.1564444,453.9972233,5801.151661
0.125,243.9065206,243.9065206,450.9856375,5791.433368
0.1875,237.6959095,237.6959095,448.0444246,5781.839572
0.25,231.525062,231.525062,445.1733501,5772.371913
0.3125,225.3963162,225.3963162,442.3729295,5763.034897
0.375,219.3133781,219.3133781,439.644131,5753.834998
0.4375,213.2811041,213.2811041,436.9882352,5744.780252
0.5,207.3053624,207.3053624,434.4067406,5735.879972
0.5625,201.3929133,201.3929133,431.9012854,5727.14449
0.625,195.5512829,195.5512829,429.4735731,5718.584903
0.6875,189.7886205,189.7886205,427.1252996,5710.212801
0.75,184.113537,184.113537,424.8580805,5702.039966
0.8125,178.5349229,178.5349229,422.6733789,5694.078069
0.875,173.0617516,173.0617516,420.5724369,5686.338348
0.9375,167.7028722,167.7028722,418.5562132,5678.831301
1,162.4668012,162.4668012,416.625329,5671.566386
1.0625,157.3615206,157.3615206,414.7800253,5664.551765
1.125,152.3942933,152.3942933,413.0201333,5657.794077
1.1875,147.571502,147.571502,411.3450599,5651.298275
1.25,142.8985204,142.8985203,409.7537871,5645.067522
1.3125,138.3796214,138.3796213,408.2448865,5639.103147
1.375,134.0179233,134.0179233,406.8165459,5633.404662
1.4375,129.8153763,129.8153762,405.4666074,5627.969841
1.5,125.7727841,125.7727841,404.1926123,5622.794839
1.5625,121.8898587,121.8898587,402.991852,5617.874357
1.625,118.1653008,118.1653008,401.8614215,5613.201832
1.6875,114.5968994,114.5968994,400.798272,5608.769633
1.75,111.1816453,111.1816453,399.7992614,5604.569278
1.8125,107.9158499,107.91585,398.8612024,5600.591628
1.875,104.7952664,104.7952664,397.9809022,5596.827091
1.9375,101.815205,101.8152054,397.1552024,5593.265786
2,98.97064499,98.97064499,396.3810032,5589.897707
2.0625,96.256332,96.25633204,395.6552963,5586.712855
2.125,93.66686985,93.66686985,394.9751755,5583.701349
2.1875,91.19679652,91.19679652,394.3378566,5580.853522
2.25,88.84065087,88.84065086,393.7406835,5578.159987
2.3125,86.59302714,86.59302714,393.1811359,5575.611698
2.375,84.44861957,84.44861954,392.6568313,5573.199984
2.4375,82.40225745,82.40225742,392.1655233,5570.916578
2.5,80.44893175,80.44893175,391.7051037,5568.75363
2.5625,78.58381508,78.58381508,391.2735956,5566.703715
2.625,76.80227487,76.80227488,390.8691495,5564.759829
2.6875,75.099882,75.09988203,390.490038,5562.915384
2.75,73.47241492,73.47241492,390.13465,5561.164195
2.8125,71.91586036,71.91586036,389.8014842,5559.500467
2.875,70.42641168,70.42641166,389.4891424,5557.918778
2.9375,69.00046478,69.00046479,389.1963233,5556.414059
3,67.63461249,67.63461249,388.9218175,5554.981578
3.0625,66.32563785,66.32563787,388.6644982,5553.61692
3.125,65.07050711,65.07050708,388.4233173,5552.315967
3.1875,63.86636064,63.86636064,388.1973021,5551.074878
3.25,62.71050559,62.71050559,387.9855455,5549.890077
3.3125,61.60040696,61.60040696,387.7872039,5548.758228
3.375,60.53367924,60.53367924,387.6014923,5547.676221
3.4375,59.50807798,59.50807797,387.4276791,5546.641159
3.5,58.52149209,58.52149209,387.265083,5545.650341
3.5625,57.57193526,57.57193531,387.1130686,5544.701247
3.625,56.65754003,56.65754004,386.9710431,5543.791525
3.6875,55.77654779,55.77654779,386.8384527,5542.918983
3.75,54.92730516,54.92730516,386.7147831,5542.081572
3.8125,54.10825491,54.10825495,386.5995493,5541.277377
3.875,53.31793197,53.31793191,386.4923005,5540.504612
3.9375,52.55495527,52.55495525,386.392614,5539.761602
4,51.81802482,51.81802482,386.3000943,5539.046785
4.0625,51.10591509,51.1059151,386.2143708,5538.358694
4.125,50.41747058,50.41747059,386.1350956,5537.695958
4.1875,49.75160136,49.75160136,386.0619426,5537.057291
4.25,49.10727896,49.10727896,385.9946055,5536.441486
4.3125,48.4835324,48.48353241,385.9327964,5535.847411
4.375,47.87944468,47.87944472,385.8762445,5535.274005
4.4375,47.2941492,47.29414923,385.8246954,5534.720267
4.5,46.72682641,46.72682644,385.7779092,5534.185259
4.5625,46.17670134,46.17670134,385.7356596,5533.668098
4.625,45.64304088,45.64304091,385.6977336,5533.167951
4.6875,45.12515049,45.12515051,385.6639308,5532.684036
4.75,44.62237232,44.62237233,385.6340608,5532.215615
4.8125,44.13408289,44.1340829,385.6079442,5531.761989
4.875,43.65969103,43.65969102,385.5854115,5531.322504
4.9375,43.19863582,43.19863581,385.5663027,5530.896536
5,42.75038489,42.7503849,385.5504662,5530.483502
5.0625,42.31443266,42.31443266,385.5377579,5530.082845
5.125,41.89029872,41.89029872,385.5280419,5529.694041
5.1875,41.47752641,41.47752642,385.521189,5529.316595
5.25,41.07568143,41.07568145,385.5170767,5528.950035
5.3125,40.68435053,40.68435055,385.5155887,5528.593916
5.375,40.30314029,40.30314031,385.5166146,5528.247816
5.4375,39.93167602,39.93167604,385.5200495,5527.911333
5.5,39.56960068,39.56960069,385.5257935,5527.584088
5.5625,39.2165739,39.21657391,385.5337518,5527.265718
5.625,38.87227105,38.87227105,385.5438341,5526.955881
